Quarter,Job_Vacancies,unemployed,Tightness,unemployment_rate,underemployment_rate,underutilisation_rate,year,quarter,WPI,WPI_growth,WPI_growth_lead1,WPI_growth_lead2,change_tightness,change_underutilisation
2016-05-15,171.3,724.7051985,0.2363719762940268,5.7217096,8.3382655,14.0599751,2016,2,123.9,0.48661800486617945,0.40355125100888234,0.4823151125401992,-0.002744189237743,-0.008644199999999103
2016-08-15,177.1,711.2692546,0.248991501958842,5.6149592,8.7746816,14.3896408,2016,3,124.4,0.40355125100888234,0.4823151125401992,0.5600000000000049,0.012619525664815223,0.3296656999999996
2016-11-15,182.4,733.6660547,0.2486144736171341,5.767118,8.4831731,14.2502911,2016,4,125,0.4823151125401992,0.5600000000000049,0.4773269689737347,-3.7702834170791344e-4,-0.13934970000000035
2017-02-15,185.1,752.4392372,0.2459999304246809,5.8932819,8.9852327,14.8785146,2017,1,125.7,0.5600000000000049,0.4773269689737347,0.47505938242280443,-0.0026145431924531892,0.6282235000000007
2017-05-15,185.8,714.389182,0.26008232582670887,5.547534,8.7339425,14.2814765,2017,2,126.3,0.4773269689737347,0.47505938242280443,0.5516154452324562,0.014082395402027964,-0.5970381000000007
2017-08-15,200.1,718.9233614,0.2783328665385612,5.5297218,8.5784841,14.1082059,2017,3,126.9,0.47505938242280443,0.5516154452324562,0.4702194357366629,0.018250540711852337,-0.17327060000000039
2017-11-15,205.1,713.5357832,0.2874417861430667,5.4541362,8.5177186,13.9718549,2017,4,127.6,0.5516154452324562,0.4702194357366629,0.6240249609984483,0.009108919604505494,-0.13635099999999944
2018-02-15,213.1,734.3318949,0.2901957568233089,5.5816517,8.4847191,14.0663708,2018,1,128.2,0.4702194357366629,0.6240249609984483,0.6201550387596955,0.0027539706802421904,0.09451589999999932
2018-05-15,223.5,715.7548996,0.3122577297408695,5.4366145,8.5273163,13.9639309,2018,2,129,0.6240249609984483,0.6201550387596955,0.5392912172573094,0.022061972917560624,-0.10243990000000025
2018-08-15,227.1,696.4967109,0.32606040552086113,5.243611,8.1489993,13.3926103,2018,3,129.8,0.6201550387596955,0.5392912172573094,0.5363984674329414,0.013802675779991613,-0.5713206
2018-11-15,232.4,680.8067817,0.3413597018227235,5.1088827,8.5166291,13.6255118,2018,4,130.5,0.5392912172573094,0.5363984674329414,0.6097560975609762,0.015299296301862386,0.23290150000000054
2019-02-15,232.5,668.723721,0.3476772136216774,4.9928323,7.9757904,12.9686227,2019,1,131.2,0.5363984674329414,0.6097560975609762,0.5303030303030143,0.006317511798953901,-0.6568891000000008
2019-05-15,227.2,701.0482839,0.3240860939507108,5.1974091,8.7170283,13.9144373,2019,2,132,0.6097560975609762,0.5303030303030143,0.5275056518462717,-0.02359111967096661,0.9458146000000003
2019-08-15,221.8,714.9504288,0.3102312986541984,5.2574442,8.4635433,13.7209874,2019,3,132.7,0.5303030303030143,0.5275056518462717,0.524737631184391,-0.013854795296512401,-0.19344989999999918
2019-11-15,230.6,702.28350150000006,0.32835742190648626,5.1724506,8.3160757,13.4885263,2019,4,133.4,0.5275056518462717,0.524737631184391,0.22371364653244186,0.01812612325228785,-0.2324611000000001
2020-02-15,227.4,696.7657758,0.3263650539363934,5.1131966,8.5557672,13.6689639,2020,1,134.1,0.524737631184391,0.22371364653244186,0.07440476190476719,-0.0019923679700928343,0.18043759999999942
2020-05-15,128.4,905.7492634,0.1417610868575397,6.9919538,13.2885048,20.2804586,2020,2,134.4,0.22371364653244186,0.07440476190476719,0.5204460966542701,-0.18460396707885374,6.6114947
2020-08-15,203.3,914.9496298,0.2221980242173983,6.7928513,11.080749,17.8736003,2020,3,134.5,0.07440476190476719,0.5204460966542701,0.6656804733727872,0.0804369373598586,-2.4068582999999997
2020-11-15,260.1,931.3905817,0.27925985629493727,6.811051,9.3199091,16.1309601,2020,4,135.2,0.5204460966542701,0.6656804733727872,0.5143277002204405,0.05706183207753898,-1.7426402000000003
2021-02-15,287.8,800.7241553,0.3594246509176092,5.8478151,8.3825609,14.230376,2021,1,136.1,0.6656804733727872,0.5143277002204405,0.5116959064327409,0.08016479462267195,-1.9005840999999997
2021-05-15,366.7,702.3935552,0.5220719883962853,5.1138169,7.7129497,12.8267666,2021,2,136.8,0.5143277002204405,0.5116959064327409,0.6545454545454632,0.1626473374786761,-1.4036094000000006
2021-08-15,329.2,620.8088814,0.5302759188264409,4.5727138,9.1460967,13.7188106,2021,3,137.5,0.5116959064327409,0.6545454545454632,0.6502890173410547,0.008203930430155548,0.8920440000000003
2021-11-15,406.5,638.6901108,0.6364588916068121,4.6336312,7.5224201,12.1560513,2021,4,138.4,0.6545454545454632,0.6502890173410547,0.7896625987078298,0.10618297278037125,-1.5627592999999997
2022-02-15,422.8,561.4706822,0.7530223988603478,4.0320085,6.6348717,10.6668802,2022,1,139.3,0.6502890173410547,0.7896625987078298,0.9971509971510084,0.1165635072535357,-1.4891711
2022-05-15,473.1,553.2169044,0.8551799416055589,3.9421647,5.9822675,9.9244323,2022,2,140.4,0.7896625987078298,0.9971509971510084,0.8462623413258097,0.10215754274521105,-0.7424479000000002
2022-08-15,466.7,499.686564,0.9339854893516808,3.5263235,5.9885483,9.5148718,2022,3,141.8,0.9971509971510084,0.8462623413258097,0.9790209790209836,0.07880554774612192,-0.40956049999999955
2022-11-15,451.3,502.3423686,0.8983912729832998,3.5165842,5.9067407,9.4233249,2022,4,143,0.8462623413258097,0.9790209790209836,0.8310249307479145,-0.035594216368381004,-0.0915468999999991
2023-02-15,439.1,518.2826395,0.847221123253541,3.6110496,5.93768,9.5487296,2023,1,144.4,0.9790209790209836,0.8310249307479145,1.3049450549450503,-0.05117014972975875,0.12540469999999893
2023-05-15,422.3,521.4945838,0.8097878925660282,3.590103,6.439176,10.029279,2023,2,145.6,0.8310249307479145,1.3049450549450503,1.0847457627118695,-0.03743323068751281,0.480549400000001
2023-08-15,399.8,538.7903595,0.7420325789997733,3.6786112,6.6064813,10.2850924,2023,3,147.5,1.3049450549450503,1.0847457627118695,0.7377598926894713,-0.06775531356625497,0.2558133999999992
2023-11-15,385.1,581.3258214,0.6624512206813183,3.9323142,6.595437,10.5277512,2023,4,149.1,1.0847457627118695,0.7377598926894713,0.8655126498002819,-0.07958135831845492,0.24265880000000095
2024-02-15,359.7,553.6354356,0.6497055225704197,3.7413408,6.6474091,10.38875,2024,1,150.2,0.7377598926894713,0.8655126498002819,0.8580858085808662,-0.012745698110898651,-0.13900120000000094
2024-05-15,346.3,595.7538942,0.581280296060883,4.0051119,6.6825271,10.687639,2024,2,151.5,0.8655126498002819,0.8580858085808662,0.7198952879581055,-0.06842522650953664,0.29888900000000085
2024-08-15,332.7,620.4231028,0.5362469555026377,4.1253233,6.5125089,10.6378322,2024,3,152.8,0.8580858085808662,0.7198952879581055,0.974658869395717,-0.04503334055824537,-0.049806800000000706
2024-11-15,346.3,592.7508335,0.5842252434386497,3.9364603,6.0328308,9.969291,2024,4,153.9,0.7198952879581055,0.974658869395717,0.8365508365508312,0.047978287936012,-0.6685412
2025-02-15,325,614.1193929,0.5292130549163774,4.0741254,5.9519472,10.026072599999999,2025,1,155.4,0.974658869395717,0.8365508365508312,0.7657945118060061,-0.0550121885222723,0.05678159999999899
2025-05-15,336.7,623.1556402,0.5403144548157136,4.1013581,5.8277901,9.9291482,2025,2,156.7,0.8365508365508312,0.7657945118060061,0.8233058898036605,0.011101399899336228,-0.09692439999999891
2025-08-15,327.9,647.6805778,0.5062680760225816,4.2447033,5.7076093,9.9523126,2025,3,157.9,0.7657945118060061,0.8233058898036605,0.7537688442211143,-0.03404637879313199,0.02316440000000064
2025-11-15,328.7,659.8030084,0.4981789955718547,4.3223122,6.1835449,10.5058571,2025,4,159.2,0.8233058898036605,0.7537688442211143,0.8104738154613322,-0.008089080450726926,0.5535444999999992
2026-02-15,336.6,661.7156579,0.5086777016403439,4.3050169,5.9078279,10.2128448,2026,1,160.4,0.7537688442211143,0.8104738154613322,NA,0.010498706068489183,-0.2930123000000009
2026-05-15,329.5,674.1079888,0.488794088594845,4.3796061,6.3101573,10.6897635,2026,2,161.7,0.8104738154613322,NA,NA,-0.01988361304549885,0.4769187000000006
