Level,Title,State,Skill_level,Month,Vacancies
0,AUSTRALIAN TOTAL,AUST,0,2018-07-01,184680.314
0,AUSTRALIAN TOTAL,AUST,0,2018-08-01,185035.932
0,AUSTRALIAN TOTAL,AUST,0,2018-09-01,179626.711
0,AUSTRALIAN TOTAL,AUST,0,2018-10-01,177422.154
0,AUSTRALIAN TOTAL,AUST,0,2018-11-01,177167.085
0,AUSTRALIAN TOTAL,AUST,0,2018-12-01,178751.33
0,AUSTRALIAN TOTAL,AUST,0,2019-01-01,184830.577
0,AUSTRALIAN TOTAL,AUST,0,2019-02-01,181715.062
0,AUSTRALIAN TOTAL,AUST,0,2019-03-01,172965.723
0,AUSTRALIAN TOTAL,AUST,0,2019-04-01,175312.553
0,AUSTRALIAN TOTAL,AUST,0,2019-05-01,177321.317
0,AUSTRALIAN TOTAL,AUST,0,2019-06-01,172251.554
0,AUSTRALIAN TOTAL,AUST,0,2019-07-01,173796.39
0,AUSTRALIAN TOTAL,AUST,0,2019-08-01,168762.818
0,AUSTRALIAN TOTAL,AUST,0,2019-09-01,170113.842
0,AUSTRALIAN TOTAL,AUST,0,2019-10-01,162154.171
0,AUSTRALIAN TOTAL,AUST,0,2019-11-01,155786.36
0,AUSTRALIAN TOTAL,AUST,0,2019-12-01,164646.126
0,AUSTRALIAN TOTAL,AUST,0,2020-01-01,167384.746
0,AUSTRALIAN TOTAL,AUST,0,2020-02-01,160374.322
0,AUSTRALIAN TOTAL,AUST,0,2020-03-01,118153.809
0,AUSTRALIAN TOTAL,AUST,0,2020-04-01,67220.733
0,AUSTRALIAN TOTAL,AUST,0,2020-05-01,90319.785
0,AUSTRALIAN TOTAL,AUST,0,2020-06-01,120057.618
0,AUSTRALIAN TOTAL,AUST,0,2020-07-01,133920.593
0,AUSTRALIAN TOTAL,AUST,0,2020-08-01,136325.359
0,AUSTRALIAN TOTAL,AUST,0,2020-09-01,151233.019
0,AUSTRALIAN TOTAL,AUST,0,2020-10-01,160330.556
0,AUSTRALIAN TOTAL,AUST,0,2020-11-01,176172.079
0,AUSTRALIAN TOTAL,AUST,0,2020-12-01,185239.035
0,AUSTRALIAN TOTAL,AUST,0,2021-01-01,189222.947
0,AUSTRALIAN TOTAL,AUST,0,2021-02-01,202784.131
0,AUSTRALIAN TOTAL,AUST,0,2021-03-01,227801.911
0,AUSTRALIAN TOTAL,AUST,0,2021-04-01,230721.437
0,AUSTRALIAN TOTAL,AUST,0,2021-05-01,235548.241
0,AUSTRALIAN TOTAL,AUST,0,2021-06-01,231758.133
0,AUSTRALIAN TOTAL,AUST,0,2021-07-01,228986.378
0,AUSTRALIAN TOTAL,AUST,0,2021-08-01,211148.515
0,AUSTRALIAN TOTAL,AUST,0,2021-09-01,235533.885
0,AUSTRALIAN TOTAL,AUST,0,2021-10-01,255371.259
0,AUSTRALIAN TOTAL,AUST,0,2021-11-01,262091.253
0,AUSTRALIAN TOTAL,AUST,0,2021-12-01,258565.757
0,AUSTRALIAN TOTAL,AUST,0,2022-01-01,268156.223
0,AUSTRALIAN TOTAL,AUST,0,2022-02-01,278038.244
0,AUSTRALIAN TOTAL,AUST,0,2022-03-01,283686.548
0,AUSTRALIAN TOTAL,AUST,0,2022-04-01,288585.339
0,AUSTRALIAN TOTAL,AUST,0,2022-05-01,295914.205
0,AUSTRALIAN TOTAL,AUST,0,2022-06-01,305033.081
0,AUSTRALIAN TOTAL,AUST,0,2022-07-01,293236.126
0,AUSTRALIAN TOTAL,AUST,0,2022-08-01,295872.334
0,AUSTRALIAN TOTAL,AUST,0,2022-09-01,282211.882
0,AUSTRALIAN TOTAL,AUST,0,2022-10-01,286540.551
0,AUSTRALIAN TOTAL,AUST,0,2022-11-01,277550.117
0,AUSTRALIAN TOTAL,AUST,0,2022-12-01,276354.305
0,AUSTRALIAN TOTAL,AUST,0,2023-01-01,278875.392
0,AUSTRALIAN TOTAL,AUST,0,2023-02-01,284539.094
0,AUSTRALIAN TOTAL,AUST,0,2023-03-01,281641.32
0,AUSTRALIAN TOTAL,AUST,0,2023-04-01,289574.211
0,AUSTRALIAN TOTAL,AUST,0,2023-05-01,283490.593
0,AUSTRALIAN TOTAL,AUST,0,2023-06-01,279133.36
0,AUSTRALIAN TOTAL,AUST,0,2023-07-01,281692.925
0,AUSTRALIAN TOTAL,AUST,0,2023-08-01,276119.34
0,AUSTRALIAN TOTAL,AUST,0,2023-09-01,268984.562
0,AUSTRALIAN TOTAL,AUST,0,2023-10-01,259805.736
0,AUSTRALIAN TOTAL,AUST,0,2023-11-01,259303.064
0,AUSTRALIAN TOTAL,AUST,0,2023-12-01,260062.401
0,AUSTRALIAN TOTAL,AUST,0,2024-01-01,249558.369
0,AUSTRALIAN TOTAL,AUST,0,2024-02-01,248333.472
0,AUSTRALIAN TOTAL,AUST,0,2024-03-01,245874.728
0,AUSTRALIAN TOTAL,AUST,0,2024-04-01,237546.443
0,AUSTRALIAN TOTAL,AUST,0,2024-05-01,240101.109
0,AUSTRALIAN TOTAL,AUST,0,2024-06-01,229845.396
0,AUSTRALIAN TOTAL,AUST,0,2024-07-01,216153.358
0,AUSTRALIAN TOTAL,AUST,0,2024-08-01,229185.782
0,AUSTRALIAN TOTAL,AUST,0,2024-09-01,231568.426
0,AUSTRALIAN TOTAL,AUST,0,2024-10-01,225187.064
0,AUSTRALIAN TOTAL,AUST,0,2024-11-01,221892.005
0,AUSTRALIAN TOTAL,AUST,0,2024-12-01,214314.706
0,AUSTRALIAN TOTAL,AUST,0,2025-01-01,221025.263
0,AUSTRALIAN TOTAL,AUST,0,2025-02-01,211338.042
0,AUSTRALIAN TOTAL,AUST,0,2025-03-01,203643.642
0,AUSTRALIAN TOTAL,AUST,0,2025-04-01,214620.442
0,AUSTRALIAN TOTAL,AUST,0,2025-05-01,210531.478
0,AUSTRALIAN TOTAL,AUST,0,2025-06-01,214742.206
0,AUSTRALIAN TOTAL,AUST,0,2025-07-01,212853.603
0,AUSTRALIAN TOTAL,AUST,0,2025-08-01,201575.668
0,AUSTRALIAN TOTAL,AUST,0,2025-09-01,208365.117
0,AUSTRALIAN TOTAL,AUST,0,2025-10-01,208611.905
0,AUSTRALIAN TOTAL,AUST,0,2025-11-01,206017.359
0,AUSTRALIAN TOTAL,AUST,0,2025-12-01,212492.992
0,AUSTRALIAN TOTAL,AUST,0,2026-01-01,218568.433
0,AUSTRALIAN TOTAL,AUST,0,2026-02-01,211287.673
0,AUSTRALIAN TOTAL,AUST,0,2026-03-01,213097.731
0,AUSTRALIAN TOTAL,AUST,0,2026-04-01,211182.803
0,AUSTRALIAN TOTAL,AUST,0,2026-05-01,203759.896
0,AUSTRALIAN TOTAL,AUST,0,2026-06-01,206734.739
0,AUSTRALIAN TOTAL,AUST,0,2026-07-01,212228.72
2,Australia skill level 1,AUST,1,2006-01-01,63683.514
2,Australia skill level 1,AUST,1,2006-02-01,65063.338
2,Australia skill level 1,AUST,1,2006-03-01,67580.066
2,Australia skill level 1,AUST,1,2006-04-01,70798.796
2,Australia skill level 1,AUST,1,2006-05-01,69697.961
2,Australia skill level 1,AUST,1,2006-06-01,78577.747
2,Australia skill level 1,AUST,1,2006-07-01,70813.263
2,Australia skill level 1,AUST,1,2006-08-01,71509.491
2,Australia skill level 1,AUST,1,2006-09-01,69030.592
2,Australia skill level 1,AUST,1,2006-10-01,76622.35
2,Australia skill level 1,AUST,1,2006-11-01,76853.318
2,Australia skill level 1,AUST,1,2006-12-01,76477.858
2,Australia skill level 1,AUST,1,2007-01-01,81109.598
2,Australia skill level 1,AUST,1,2007-02-01,84622.665
2,Australia skill level 1,AUST,1,2007-03-01,88157.486
2,Australia skill level 1,AUST,1,2007-04-01,88457.764
2,Australia skill level 1,AUST,1,2007-05-01,90228.427
2,Australia skill level 1,AUST,1,2007-06-01,87955.869
2,Australia skill level 1,AUST,1,2007-07-01,91780.011
2,Australia skill level 1,AUST,1,2007-08-01,91925.537
2,Australia skill level 1,AUST,1,2007-09-01,94373.683
2,Australia skill level 1,AUST,1,2007-10-01,93344.466
2,Australia skill level 1,AUST,1,2007-11-01,98660.079
2,Australia skill level 1,AUST,1,2007-12-01,103635.818
2,Australia skill level 1,AUST,1,2008-01-01,105401.223
2,Australia skill level 1,AUST,1,2008-02-01,106450.47
2,Australia skill level 1,AUST,1,2008-03-01,105013.264
2,Australia skill level 1,AUST,1,2008-04-01,107893.736
2,Australia skill level 1,AUST,1,2008-05-01,107348.032
2,Australia skill level 1,AUST,1,2008-06-01,108008.854
2,Australia skill level 1,AUST,1,2008-07-01,103606.18
2,Australia skill level 1,AUST,1,2008-08-01,101595.078
2,Australia skill level 1,AUST,1,2008-09-01,96213.321
2,Australia skill level 1,AUST,1,2008-10-01,95448.347
2,Australia skill level 1,AUST,1,2008-11-01,91590.955
2,Australia skill level 1,AUST,1,2008-12-01,82746.572
2,Australia skill level 1,AUST,1,2009-01-01,72144.104
2,Australia skill level 1,AUST,1,2009-02-01,67094.923
2,Australia skill level 1,AUST,1,2009-03-01,57720.683
2,Australia skill level 1,AUST,1,2009-04-01,58852.229
2,Australia skill level 1,AUST,1,2009-05-01,58314.457
2,Australia skill level 1,AUST,1,2009-06-01,60106.155
2,Australia skill level 1,AUST,1,2009-07-01,59844.013
2,Australia skill level 1,AUST,1,2009-08-01,61788.747
2,Australia skill level 1,AUST,1,2009-09-01,61054.848
2,Australia skill level 1,AUST,1,2009-10-01,57707.049
2,Australia skill level 1,AUST,1,2009-11-01,58259.791
2,Australia skill level 1,AUST,1,2009-12-01,56747.26
2,Australia skill level 1,AUST,1,2010-01-01,62626.016
2,Australia skill level 1,AUST,1,2010-02-01,63913.995
2,Australia skill level 1,AUST,1,2010-03-01,63341.96
2,Australia skill level 1,AUST,1,2010-04-01,62416.994
2,Australia skill level 1,AUST,1,2010-05-01,69435.442
2,Australia skill level 1,AUST,1,2010-06-01,66431.188
2,Australia skill level 1,AUST,1,2010-07-01,68790.646
2,Australia skill level 1,AUST,1,2010-08-01,69673.978
2,Australia skill level 1,AUST,1,2010-09-01,72546.636
2,Australia skill level 1,AUST,1,2010-10-01,75848.612
2,Australia skill level 1,AUST,1,2010-11-01,76570.564
2,Australia skill level 1,AUST,1,2010-12-01,78218.695
2,Australia skill level 1,AUST,1,2011-01-01,78735.365
2,Australia skill level 1,AUST,1,2011-02-01,78279.803
2,Australia skill level 1,AUST,1,2011-03-01,79833.142
2,Australia skill level 1,AUST,1,2011-04-01,80158.799
2,Australia skill level 1,AUST,1,2011-05-01,77100.623
2,Australia skill level 1,AUST,1,2011-06-01,73318.333
2,Australia skill level 1,AUST,1,2011-07-01,74473.87
2,Australia skill level 1,AUST,1,2011-08-01,72697.812
2,Australia skill level 1,AUST,1,2011-09-01,71174.919
2,Australia skill level 1,AUST,1,2011-10-01,72563.971
2,Australia skill level 1,AUST,1,2011-11-01,71547.365
2,Australia skill level 1,AUST,1,2011-12-01,72758.382
2,Australia skill level 1,AUST,1,2012-01-01,69794.978
2,Australia skill level 1,AUST,1,2012-02-01,70532.572
2,Australia skill level 1,AUST,1,2012-03-01,71155.016
2,Australia skill level 1,AUST,1,2012-04-01,68454.494
2,Australia skill level 1,AUST,1,2012-05-01,66539.927
2,Australia skill level 1,AUST,1,2012-06-01,66452.594
2,Australia skill level 1,AUST,1,2012-07-01,62046.16
2,Australia skill level 1,AUST,1,2012-08-01,62228.769
2,Australia skill level 1,AUST,1,2012-09-01,62072.207
2,Australia skill level 1,AUST,1,2012-10-01,58821.544
2,Australia skill level 1,AUST,1,2012-11-01,57318.308
2,Australia skill level 1,AUST,1,2012-12-01,54860.779
2,Australia skill level 1,AUST,1,2013-01-01,53571.068
2,Australia skill level 1,AUST,1,2013-02-01,53295.259
2,Australia skill level 1,AUST,1,2013-03-01,54892.912
2,Australia skill level 1,AUST,1,2013-04-01,51293.392
2,Australia skill level 1,AUST,1,2013-05-01,51243.155
2,Australia skill level 1,AUST,1,2013-06-01,50011.301
2,Australia skill level 1,AUST,1,2013-07-01,51309.567
2,Australia skill level 1,AUST,1,2013-08-01,49950.386
2,Australia skill level 1,AUST,1,2013-09-01,49352.138
2,Australia skill level 1,AUST,1,2013-10-01,49153.795
2,Australia skill level 1,AUST,1,2013-11-01,50186.22
2,Australia skill level 1,AUST,1,2013-12-01,47687.975
2,Australia skill level 1,AUST,1,2014-01-01,52056.549
2,Australia skill level 1,AUST,1,2014-02-01,52043.815
2,Australia skill level 1,AUST,1,2014-03-01,50865.727
2,Australia skill level 1,AUST,1,2014-04-01,50430.667
2,Australia skill level 1,AUST,1,2014-05-01,55118.75
2,Australia skill level 1,AUST,1,2014-06-01,55981.916
2,Australia skill level 1,AUST,1,2014-07-01,54096.117
2,Australia skill level 1,AUST,1,2014-08-01,55375.108
2,Australia skill level 1,AUST,1,2014-09-01,54556.188
2,Australia skill level 1,AUST,1,2014-10-01,55218.443
2,Australia skill level 1,AUST,1,2014-11-01,53346.236
2,Australia skill level 1,AUST,1,2014-12-01,51961.859
2,Australia skill level 1,AUST,1,2015-01-01,55250.198
2,Australia skill level 1,AUST,1,2015-02-01,55265.11
2,Australia skill level 1,AUST,1,2015-03-01,56526.52
2,Australia skill level 1,AUST,1,2015-04-01,57701.621
2,Australia skill level 1,AUST,1,2015-05-01,55131.737
2,Australia skill level 1,AUST,1,2015-06-01,56853.601
2,Australia skill level 1,AUST,1,2015-07-01,59100.294
2,Australia skill level 1,AUST,1,2015-08-01,58362.777
2,Australia skill level 1,AUST,1,2015-09-01,60759.416
2,Australia skill level 1,AUST,1,2015-10-01,58379.23
2,Australia skill level 1,AUST,1,2015-11-01,61547.508
2,Australia skill level 1,AUST,1,2015-12-01,60772.758
2,Australia skill level 1,AUST,1,2016-01-01,61036.131
2,Australia skill level 1,AUST,1,2016-02-01,59643.589
2,Australia skill level 1,AUST,1,2016-03-01,60472.339
2,Australia skill level 1,AUST,1,2016-04-01,61167.913
2,Australia skill level 1,AUST,1,2016-05-01,61545.353
2,Australia skill level 1,AUST,1,2016-06-01,63476.426
2,Australia skill level 1,AUST,1,2016-07-01,59598.825
2,Australia skill level 1,AUST,1,2016-08-01,61096.839
2,Australia skill level 1,AUST,1,2016-09-01,60217.368
2,Australia skill level 1,AUST,1,2016-10-01,60364.616
2,Australia skill level 1,AUST,1,2016-11-01,59837.158
2,Australia skill level 1,AUST,1,2016-12-01,60561.176
2,Australia skill level 1,AUST,1,2017-01-01,60104.606
2,Australia skill level 1,AUST,1,2017-02-01,60789.942
2,Australia skill level 1,AUST,1,2017-03-01,60962.518
2,Australia skill level 1,AUST,1,2017-04-01,62275.141
2,Australia skill level 1,AUST,1,2017-05-01,63286.738
2,Australia skill level 1,AUST,1,2017-06-01,64890.174
2,Australia skill level 1,AUST,1,2017-07-01,64897.474
2,Australia skill level 1,AUST,1,2017-08-01,65107.362
2,Australia skill level 1,AUST,1,2017-09-01,65530.346
2,Australia skill level 1,AUST,1,2017-10-01,67243.613
2,Australia skill level 1,AUST,1,2017-11-01,67153.458
2,Australia skill level 1,AUST,1,2017-12-01,64970.6
2,Australia skill level 1,AUST,1,2018-01-01,66971.845
2,Australia skill level 1,AUST,1,2018-02-01,68583.879
2,Australia skill level 1,AUST,1,2018-03-01,71333.512
2,Australia skill level 1,AUST,1,2018-04-01,70851.396
2,Australia skill level 1,AUST,1,2018-05-01,71813.091
2,Australia skill level 1,AUST,1,2018-06-01,70571.39
2,Australia skill level 1,AUST,1,2018-07-01,70524.77
2,Australia skill level 1,AUST,1,2018-08-01,70572.597
2,Australia skill level 1,AUST,1,2018-09-01,68519.648
2,Australia skill level 1,AUST,1,2018-10-01,68774.472
2,Australia skill level 1,AUST,1,2018-11-01,69793.637
2,Australia skill level 1,AUST,1,2018-12-01,70168.542
2,Australia skill level 1,AUST,1,2019-01-01,72526.292
2,Australia skill level 1,AUST,1,2019-02-01,71641.989
2,Australia skill level 1,AUST,1,2019-03-01,68083.705
2,Australia skill level 1,AUST,1,2019-04-01,70475.098
2,Australia skill level 1,AUST,1,2019-05-01,70882.001
2,Australia skill level 1,AUST,1,2019-06-01,69150.894
2,Australia skill level 1,AUST,1,2019-07-01,68554.171
2,Australia skill level 1,AUST,1,2019-08-01,66995.252
2,Australia skill level 1,AUST,1,2019-09-01,66821.767
2,Australia skill level 1,AUST,1,2019-10-01,65068.746
2,Australia skill level 1,AUST,1,2019-11-01,62934.067
2,Australia skill level 1,AUST,1,2019-12-01,67235.162
2,Australia skill level 1,AUST,1,2020-01-01,67377.081
2,Australia skill level 1,AUST,1,2020-02-01,64372.735
2,Australia skill level 1,AUST,1,2020-03-01,49375.588
2,Australia skill level 1,AUST,1,2020-04-01,29717.323
2,Australia skill level 1,AUST,1,2020-05-01,37180.468
2,Australia skill level 1,AUST,1,2020-06-01,45313.786
2,Australia skill level 1,AUST,1,2020-07-01,49729.693
2,Australia skill level 1,AUST,1,2020-08-01,52970.707
2,Australia skill level 1,AUST,1,2020-09-01,57782.472
2,Australia skill level 1,AUST,1,2020-10-01,58912.041
2,Australia skill level 1,AUST,1,2020-11-01,63626.027
2,Australia skill level 1,AUST,1,2020-12-01,67474.568
2,Australia skill level 1,AUST,1,2021-01-01,67686.339
2,Australia skill level 1,AUST,1,2021-02-01,74002.81
2,Australia skill level 1,AUST,1,2021-03-01,82663.545
